,segment,size
0,节目,21
1,晓说,12
2,网络,11
3,高晓松,11
4,综艺节目,10
5,低俗,9
6,自制,6
7,制作,5
8,电视台,5
9,饭局,5
10,一个,5
11,不是,4
12,电视剧,4
13,不会,4
14,自己,4
15,内容,4
16,大家,4
17,因为,4
18,视频,4
19,优酷,4
20,播出,4
21,低成本,3
22,认同,3
23,嘉宾,3
24,出炉,3
25,网站,3
26,播放,3
27,选择,3
28,小时,3
29,成为,3
30,镖局,3
31,向阳,3
32,一期,3
33,一些,3
34,狗血,3
35,我们,3
36,脱口秀,2
37,出来,2
38,后来,2
39,卖出,2
40,告诉,2
41,发布会,2
42,刚刚,2
43,受欢迎,2
44,觉得,2
45,话题,2
46,发展,2
47,各种,2
48,包括,2
49,如今,2
50,售价,2
51,很少,2
52,星期,2
53,段子,2
54,比如,2
55,没有,2
56,推出,2
57,涉及,2
58,150,2
59,成本,2
60,点击率,2
61,然后,2
62,影响,2
63,背景,2
64,形象,2
65,电视节,2
66,广告商,2
67,局子,2
68,尺度,2
69,知道,2
70,奥斯卡,2
71,综艺,2
72,壁炉,2
73,美国,2
74,内衣,2
75,15,2
76,通常,2
77,上海,2
78,主流,2
79,价格,2
80,主持,2
81,优势,2
82,这些,2
83,之后,2
84,这个,2
85,高瑾,2
86,饭桌,2
87,采访,2
88,专业,2
89,东西,2
90,互联网,2
91,珍惜,1
92,甚至,1
93,现场,1
94,现在,1
95,青楼,1
96,由于,1
97,环境,1
98,青睐,1
99,电台,1
100,限制,1
101,特地,1
102,用户,1
103,闲话,1
104,电脑屏幕,1
105,的话,1
106,碎片,1
107,看清楚,1
108,重点,1
109,相比,1
110,相当,1
111,相关,1
112,的确,1
113,电视,1
114,百万,1
115,电视节目,1
116,长期,1
117,长远,1
118,闲得,1
119,爱奇艺,1
120,特别,1
121,足够,1
122,靠拢,1
123,正规化,1
124,汉人,1
125,永远,1
126,民族,1
127,民主,1
128,每天,1
129,每个,1
130,高级,1
131,高说,1
132,靠纯,1
133,正式,1
134,欧洲杯,1
135,横枪跃马,1
136,检验,1
137,黄健翔,1
138,本报记者,1
139,本人,1
140,没娘,1
141,首席,1
142,首先,1
143,没想到,1
144,社会,1
145,韩寒,1
146,点击,1
147,音乐,1
148,页面,1
149,灵活,1
150,火苗,1
151,潜移默化,1
152,滔滔不绝,1
153,渐渐,1
154,淘汰,1
155,顺便,1
156,题目,1
157,洛杉矶,1
158,飞过来,1
159,重复,1
160,突破,1
161,私密性,1
162,适合,1
163,规管,1
164,观点,1
165,西洋,1
166,表示,1
167,表现,1
168,这样,1
169,衣服,1
170,这火,1
171,蛋痛,1
172,获得,1
173,范例,1
174,英文,1
175,这种,1
176,艺术总监,1
177,至今,1
178,规范,1
179,这是,1
180,警报,1
181,达到,1
182,越来越,1
183,轻松,1
184,较少,1
185,超过,1
186,输出,1
187,资本,1
188,谈话,1
189,认为,1
190,说起,1
191,过去,1
192,评论,1
193,迎来,1
194,设备,1
195,记者,1
196,自由,1
197,最近,1
198,秩序,1
199,脑浆,1
200,配备,1
201,配置,1
202,结果,1
203,结束,1
204,经受,1
205,纷纷,1
206,酷网,1
207,篇儿,1
208,简称,1
209,简单,1
210,等等,1
211,第一期,1
212,身兼数职,1
213,穿着,1
214,程度,1
215,郑和,1
216,编辑,1
217,网民,1
218,那期,1
219,脑残,1
220,邀请,1
221,那些,1
222,那会,1
223,能够,1
224,那时,1
225,聊天,1
226,那般,1
227,耍嘴皮子,1
228,那样,1
229,老板,1
230,老婆,1
231,翻译,1
232,那次,1
233,有名,1
234,投放,1
235,最初,1
236,介绍,1
237,功夫,1
238,前提,1
239,制片,1
240,制度,1
241,利好,1
242,出现,1
243,几个,1
244,其次,1
245,其实,1
246,其中,1
247,关于,1
248,关上门,1
249,六轮,1
250,兄弟,1
251,健康,1
252,例如,1
253,作为,1
254,但是,1
255,任何,1
256,化妆品,1
257,北京,1
258,千万,1
259,发迹史,1
260,各大,1
261,吃饭,1
262,可爱,1
263,可以,1
264,只用,1
265,只有,1
266,古永锵,1
267,口味,1
268,反向,1
269,千万次,1
270,双低,1
271,参加,1
272,参与,1
273,原因,1
274,原创,1
275,卖钱,1
276,单独,1
277,单期,1
278,他会,1
279,今年,1
280,同事,1
281,什么样,1
282,万分钟,1
283,一顿饭,1
284,一面,1
285,一次,1
286,一档,1
287,一家人,1
288,一季,1
289,一个月,1
290,一个多,1
291,morning,1
292,call,1
293,CFO,1
294,CAO,1
295,3000,1
296,300,1
297,30,1
298,24,1
299,184,1
300,18,1
301,万次,1
302,上红,1
303,不了,1
304,主角,1
305,什么,1
306,于是,1
307,二轮,1
308,二季度,1
309,事实上,1
310,事儿,1
311,习惯,1
312,之前,1
313,主持人,1
314,不仅,1
315,为什么,1
316,中女,1
317,中国,1
318,个例,1
319,两人,1
320,不过,1
321,不用,1
322,不到,1
323,合作,1
324,同样,1
325,更是,1
326,开始,1
327,打算,1
328,所谓,1
329,所以,1
330,我家,1
331,成功,1
332,愿意,1
333,感慨,1
334,悄悄,1
335,恐怖,1
336,总量,1
337,总裁,1
338,总编辑,1
339,总结,1
340,总监,1
341,态度,1
342,快速,1
343,徐洁,1
344,很大,1
345,很多,1
346,执行官,1
347,找到,1
348,按照,1
349,时政,1
350,更好,1
351,暂时,1
352,晓松,1
353,显示,1
354,显然,1
355,是否,1
356,时说,1
357,时期,1
358,时候,1
359,接受,1
360,方法,1
361,敲定,1
362,数据,1
363,政策,1
364,政治,1
365,放屁,1
366,摄像,1
367,搜狐,1
368,当问,1
369,建议,1
370,名叫,1
371,应该,1
372,奇艺网,1
373,奇艺,1
374,太过,1
375,天赋,1
376,大约,1
377,大王,1
378,在于,1
379,土豆,1
380,圈内,1
381,国际,1
382,因此,1
383,四期,1
384,噱头,1
385,嘴里,1
386,喜欢,1
387,善战,1
388,啪啪,1
389,哥们儿,1
390,名字,1
391,女性,1
392,女性内衣,1
393,好多,1
394,就配,1
395,广电总局,1
396,并购,1
397,平台,1
398,带枪,1
399,希望,1
400,市场,1
401,已经,1
402,属于,1
403,就是,1
404,如果,1
405,尚武,1
406,小小的,1
407,导致,1
408,对此,1
409,家里,1
410,宣传,1
411,孩子,1
412,娱令,1
413,龚宇,1
